lineage,time_bin,pi,n_samples
A.1,2020-02-24/2020-03-01,4.781744498783615e-05,30
A.1,2020-03-02/2020-03-08,5.4309664890919867e-05,72
A.1,2020-03-09/2020-03-15,9.109195209579752e-05,199
A.1,2020-03-16/2020-03-22,0.000111836860407,206
A.1,2020-03-23/2020-03-29,0.0001064306317959,144
A.1,2020-03-30/2020-04-05,0.0001454062333501,114
A.1,2020-04-06/2020-04-12,0.0001852621348032,48
A.1,2020-04-13/2020-04-19,0.0001707761551546,23
A.1,2020-04-20/2020-04-26,0.0002651650593328,26
A.1,2020-04-27/2020-05-03,0.000200648764338,42
A.1,2020-05-04/2020-05-10,0.0001893060466658,19
A.1,2020-05-11/2020-05-17,0.0003052293324172,11
A.1,2020-05-18/2020-05-24,0.0002589179762038,12
A.1,2020-06-01/2020-06-07,0.0001509153099294,13
AD.2,2020-08-03/2020-08-09,4.782795807107749e-05,27
AD.2,2020-08-10/2020-08-16,5.2168678727886834e-05,26
AD.2,2020-08-17/2020-08-23,0.0001264695241888,11
AD.2,2020-08-24/2020-08-30,5.0184756172713725e-05,39
AD.2,2020-08-31/2020-09-06,7.818771153553617e-05,55
AD.2,2020-09-07/2020-09-13,8.84971195224347e-05,64
AD.2,2020-09-14/2020-09-20,0.0001212429970435,58
AD.2,2020-09-21/2020-09-27,0.0001077409698618,78
AD.2,2020-09-28/2020-10-04,0.000149929510317,62
AD.2,2020-10-05/2020-10-11,0.0001456728265014,87
AD.2,2020-10-12/2020-10-18,0.0001904720688395,51
AD.2,2020-10-19/2020-10-25,0.0001764207672836,49
AD.2,2020-10-26/2020-11-01,0.0002222251192225,60
AD.2,2020-11-02/2020-11-08,0.0002383612589946,91
AD.2,2020-11-09/2020-11-15,0.0002812267601753,70
AD.2,2020-11-16/2020-11-22,0.000296837390978,46
AD.2,2020-11-23/2020-11-29,0.000254923715713,32
AD.2,2020-11-30/2020-12-06,0.0002267649527121,15
AD.2,2020-12-07/2020-12-13,0.0002350456953674,15
AD.2,2020-12-14/2020-12-20,0.0002051076257677,16
AY.1,2021-05-24/2021-05-30,0.0001433929300698,12
AY.1,2021-06-07/2021-06-13,0.0002229430714866,13
AY.1,2021-06-28/2021-07-04,4.357523669967238e-05,12
AY.1,2021-07-05/2021-07-11,0.0001015629547883,28
AY.1,2021-07-12/2021-07-18,0.0001326339780675,26
AY.1,2021-07-19/2021-07-25,0.0001187124218258,27
AY.1,2021-07-26/2021-08-01,0.000165919664994,74
AY.1,2021-08-02/2021-08-08,0.000179842215904,101
AY.1,2021-08-09/2021-08-15,0.0002047312283743,56
AY.1,2021-08-16/2021-08-22,0.0002406473742224,34
AY.1,2021-08-23/2021-08-29,0.0002949022351757,26
AY.1,2021-08-30/2021-09-05,0.0002421409470869,28
AY.1,2021-09-06/2021-09-12,0.0003204806652621,16
AY.1,2021-09-13/2021-09-19,0.0003895636828083,19
AY.1,2021-09-20/2021-09-26,0.0001718844309888,66
AY.1,2021-09-27/2021-10-03,0.0003815922378414,31
AY.1,2021-10-04/2021-10-10,0.0004068935795631,32
AY.1,2021-10-11/2021-10-17,0.000457396790686,24
AY.1,2021-10-18/2021-10-24,0.0004055537145862,45
AY.1,2021-10-25/2021-10-31,0.000392092716147,71
AY.1,2021-11-01/2021-11-07,0.0005104045166915,45
AY.1,2021-11-08/2021-11-14,0.0004171688750569,53
AY.1,2021-11-15/2021-11-21,0.0005005260490243,44
AY.1,2021-11-22/2021-11-28,0.0004581480119051,25
AY.1,2021-11-29/2021-12-05,0.0003877685046798,27
AY.1,2021-12-06/2021-12-12,0.000401297528676,10
AY.100,2021-07-12/2021-07-18,0.0001835564621907,10
AY.100,2021-07-19/2021-07-25,0.0001904794312526,19
AY.100,2021-07-26/2021-08-01,0.0001973046182657,25
AY.100,2021-08-02/2021-08-08,0.0002517897298827,41
AY.100,2021-08-09/2021-08-15,0.0002883015958627,27
AY.100,2021-08-16/2021-08-22,0.0002828515706428,34
