lineage,time_bin,pi_valid_sites,pi_total_length,n_samples
A.1,2020-02-17/2020-02-23,0.0,0.0,2
A.1,2020-02-24/2020-03-01,4.781744498783617e-05,4.781744498783617e-05,30
A.1,2020-03-02/2020-03-08,5.4309664890919684e-05,5.4309664890919684e-05,72
A.1,2020-03-09/2020-03-15,9.109195209579733e-05,9.109195209579733e-05,199
A.1,2020-03-16/2020-03-22,0.00011183686040702004,0.00011183686040702004,206
A.1,2020-03-23/2020-03-29,0.00010643063179597929,0.00010643063179597929,144
A.1,2020-03-30/2020-04-05,0.00014540623335017246,0.00014540623335017246,114
A.1,2020-04-06/2020-04-12,0.0001852621348032398,0.0001852621348032398,48
A.1,2020-04-13/2020-04-19,0.0001707761551546309,0.0001707761551546309,23
A.1,2020-04-20/2020-04-26,0.00026516505933286836,0.00026516505933286836,26
A.1,2020-04-27/2020-05-03,0.00020064876433802643,0.00020064876433802643,42
A.1,2020-05-04/2020-05-10,0.00018930604666589633,0.00018930604666589633,19
A.1,2020-05-11/2020-05-17,0.0003052293324172399,0.0003052293324172399,11
A.1,2020-05-18/2020-05-24,0.0002589179762038673,0.0002589179762038673,12
A.1,2020-05-25/2020-05-31,0.0001337658428920175,0.0001337658428920175,4
A.1,2020-06-01/2020-06-07,0.0001509153099294556,0.0001509153099294556,13
A.1,2020-06-08/2020-06-14,0.0002452373786353655,0.0002452373786353655,3
A.1,2020-06-15/2020-06-21,0.00010701267431361398,0.00010701267431361398,5
AD.2,2020-07-27/2020-08-02,0.0,0.0,2
AD.2,2020-08-03/2020-08-09,4.7827958071077545e-05,4.7827958071077545e-05,27
AD.2,2020-08-10/2020-08-16,5.2168678727886854e-05,5.2168678727886854e-05,26
AD.2,2020-08-17/2020-08-23,0.0001281922661048502,0.0001281922661048502,12
AD.2,2020-08-24/2020-08-30,4.987088916183237e-05,4.987088916183237e-05,42
AD.2,2020-08-31/2020-09-06,7.818771153553615e-05,7.818771153553615e-05,55
AD.2,2020-09-07/2020-09-13,8.849711952243469e-05,8.849711952243469e-05,64
AD.2,2020-09-14/2020-09-20,0.00012124299704353611,0.00012124299704353611,58
AD.2,2020-09-21/2020-09-27,0.00010774096986182713,0.00010774096986182713,78
AD.2,2020-09-28/2020-10-04,0.0001499295103170972,0.0001499295103170972,62
AD.2,2020-10-05/2020-10-11,0.00014567282650149152,0.00014567282650149152,87
AD.2,2020-10-12/2020-10-18,0.00018829106014928398,0.00018829106014928398,52
AD.2,2020-10-19/2020-10-25,0.00018232702190402016,0.00018232702190402016,63
AD.2,2020-10-26/2020-11-01,0.00022222511922258606,0.00022222511922258606,60
AD.2,2020-11-02/2020-11-08,0.00023905132088257642,0.00023905132088257642,92
AD.2,2020-11-09/2020-11-15,0.0002836804796945402,0.0002836804796945402,71
AD.2,2020-11-16/2020-11-22,0.0002995797523102477,0.0002995797523102477,48
AD.2,2020-11-23/2020-11-29,0.0002549237157130637,0.0002549237157130637,32
AD.2,2020-11-30/2020-12-06,0.00022676495271218197,0.00022676495271218197,15
AD.2,2020-12-07/2020-12-13,0.00023504569536740198,0.00023504569536740198,15
AD.2,2020-12-14/2020-12-20,0.00020510762576776023,0.00020510762576776023,16
AD.2,2020-12-21/2020-12-27,0.000314349730796241,0.000314349730796241,5
AD.2,2020-12-28/2021-01-03,0.0002739014878265121,0.0002739014878265121,7
AD.2,2021-01-04/2021-01-10,0.00031212030008137423,0.00031212030008137423,4
AD.2,2021-01-18/2021-01-24,0.00035670891437871333,0.00035670891437871333,3
AY.1,2021-04-19/2021-04-25,6.688292144600876e-05,6.688292144600876e-05,2
AY.1,2021-04-26/2021-05-02,0.0002898259929327046,0.0002898259929327046,3
AY.1,2021-05-03/2021-05-09,0.00016051901147042097,0.00016051901147042097,5
AY.1,2021-05-17/2021-05-23,0.00019109406127431076,0.00019109406127431076,7
AY.1,2021-05-24/2021-05-30,0.0001433929300698522,0.0001433929300698522,12
AY.1,2021-05-31/2021-06-06,0.0,0.0,3
AY.1,2021-06-07/2021-06-13,0.00022294307148669582,0.00022294307148669582,13
AY.1,2021-06-14/2021-06-20,0.0002006487643380263,0.0002006487643380263,7
AY.1,2021-06-21/2021-06-27,0.00020733705648262704,0.00020733705648262704,6
AY.1,2021-06-28/2021-07-04,4.357523669967239e-05,4.357523669967239e-05,12
AY.1,2021-07-05/2021-07-11,0.00010156295478838361,0.00010156295478838361,28
AY.1,2021-07-12/2021-07-18,0.00013263397806754663,0.00013263397806754663,26
AY.1,2021-07-19/2021-07-25,0.00011871242182582199,0.00011871242182582199,27
AY.1,2021-07-26/2021-08-01,0.0001659196649940693,0.0001659196649940693,74
AY.1,2021-08-02/2021-08-08,0.0001798422159040305,0.0001798422159040305,101
AY.1,2021-08-09/2021-08-15,0.00020473122837434088,0.00020473122837434088,56
AY.1,2021-08-16/2021-08-22,0.0002406473742224041,0.0002406473742224041,34
AY.1,2021-08-23/2021-08-29,0.0002949022351757861,0.0002949022351757861,26
AY.1,2021-08-30/2021-09-05,0.00024214094708693867,0.00024214094708693867,28
AY.1,2021-09-06/2021-09-12,0.00032048066526212533,0.00032048066526212533,16
AY.1,2021-09-13/2021-09-19,0.00038956368280833206,0.00038956368280833206,19
AY.1,2021-09-20/2021-09-26,0.00017188443098886859,0.00017188443098886859,66
AY.1,2021-09-27/2021-10-03,0.00038159223784142195,0.00038159223784142195,31
AY.1,2021-10-04/2021-10-10,0.0004068935795631682,0.0004068935795631682,32
AY.1,2021-10-11/2021-10-17,0.00045739679068602023,0.00045739679068602023,24
AY.1,2021-10-18/2021-10-24,0.000405553714586253,0.000405553714586253,45
AY.1,2021-10-25/2021-10-31,0.0003920927161470652,0.0003920927161470652,71
AY.1,2021-11-01/2021-11-07,0.0005104045166915112,0.0005104045166915112,45
AY.1,2021-11-08/2021-11-14,0.0004171688750569278,0.0004171688750569278,53
AY.1,2021-11-15/2021-11-21,0.0005005260490243327,0.0005005260490243327,44
AY.1,2021-11-22/2021-11-28,0.00045814801190516047,0.00045814801190516047,25
AY.1,2021-11-29/2021-12-05,0.0003877685046798518,0.0003877685046798518,27
AY.1,2021-12-06/2021-12-12,0.0004012975286760523,0.0004012975286760523,10
AY.1,2021-12-13/2021-12-19,0.0004614921579774606,0.0004614921579774606,6
AY.1,2021-12-20/2021-12-26,0.0006019462930140788,0.0006019462930140788,2
AY.1,2022-02-21/2022-02-27,0.0006688292144600876,0.0006688292144600876,2
AY.100,2021-06-28/2021-07-04,0.0001337658428920175,0.0001337658428920175,2
AY.100,2021-07-05/2021-07-11,0.0001337658428920175,0.0001337658428920175,4
AY.100,2021-07-12/2021-07-18,0.00018355646219071284,0.00018355646219071284,10
AY.100,2021-07-19/2021-07-25,0.0001904794312526684,0.0001904794312526684,19
AY.100,2021-07-26/2021-08-01,0.0001973046182657259,0.0001973046182657259,25
AY.100,2021-08-02/2021-08-08,0.0002517897298827185,0.0002517897298827185,41
AY.100,2021-08-09/2021-08-15,0.00028830159586271077,0.00028830159586271077,27
AY.100,2021-08-16/2021-08-22,0.0002828515706428802,0.0002828515706428802,34
AY.100,2021-08-23/2021-08-29,0.0003126224241162546,0.0003126224241162546,37
AY.100,2021-08-30/2021-09-05,0.00037741077101676503,0.00037741077101676503,50
AY.100,2021-09-06/2021-09-12,0.00036171375884065833,0.00036171375884065833,49
AY.100,2021-09-13/2021-09-19,0.00038907639685037035,0.00038907639685037035,43
AY.100,2021-09-20/2021-09-26,0.00037941549178759906,0.00037941549178759906,38
AY.100,2021-09-27/2021-10-03,0.0004280506972544551,0.0004280506972544551,35
AY.100,2021-10-04/2021-10-10,0.00045574984286324657,0.00045574984286324657,59
AY.100,2021-10-11/2021-10-17,0.0004775041006223567,0.0004775041006223567,38
AY.100,2021-10-18/2021-10-24,0.00042925968029539313,0.00042925968029539313,44
AY.100,2021-10-25/2021-10-31,0.0004983736653539305,0.0004983736653539305,47
AY.100,2021-11-01/2021-11-07,0.0004939202411027974,0.0004939202411027974,45
AY.100,2021-11-08/2021-11-14,0.0005731656630538615,0.0005731656630538615,42
AY.100,2021-11-15/2021-11-21,0.0006032316042228579,0.0006032316042228579,54
AY.100,2021-11-22/2021-11-28,0.0005689692970233384,0.0005689692970233384,64
AY.100,2021-11-29/2021-12-05,0.0006163137353987783,0.0006163137353987783,55
AY.100,2021-12-06/2021-12-12,0.0005714798193813693,0.0005714798193813693,56
AY.100,2021-12-13/2021-12-19,0.0006598670511212549,0.0006598670511212549,43
AY.100,2021-12-20/2021-12-26,0.0005747472382927018,0.0005747472382927018,25
AY.100,2021-12-27/2022-01-02,0.0006529047093538956,0.0006529047093538956,7
AY.100,2022-01-03/2022-01-09,0.0006521084840985854,0.0006521084840985854,4
AY.103,2021-06-14/2021-06-20,6.688292144600876e-05,6.688292144600876e-05,2
AY.103,2021-06-21/2021-06-27,0.0001783544571893567,0.0001783544571893567,3
AY.103,2021-06-28/2021-07-04,0.0001560601500406871,0.0001560601500406871,3
AY.103,2021-07-05/2021-07-11,0.00020175123007614736,0.00020175123007614736,14
AY.103,2021-07-12/2021-07-18,0.00019760863154502604,0.00019760863154502604,12
AY.103,2021-07-19/2021-07-25,0.00024031525887526945,0.00024031525887526945,22
AY.103,2021-07-26/2021-08-01,0.0002603188217065242,0.0002603188217065242,34
AY.103,2021-08-02/2021-08-08,0.0003095374230336626,0.0003095374230336626,41
AY.103,2021-08-09/2021-08-15,0.0002859673628492811,0.0002859673628492811,40
AY.103,2021-08-16/2021-08-22,0.0003294755607232612,0.0003294755607232612,26
AY.103,2021-08-23/2021-08-29,0.0003298788688791073,0.0003298788688791073,30
AY.103,2021-08-30/2021-09-05,0.00037710775411798123,0.00037710775411798123,39
AY.103,2021-09-06/2021-09-12,0.0004214926965152708,0.0004214926965152708,56
AY.103,2021-09-13/2021-09-19,0.0004009597361434963,0.0004009597361434963,45
AY.103,2021-09-20/2021-09-26,0.0004170750383504968,0.0004170750383504968,40
AY.103,2021-09-27/2021-10-03,0.0004520739506718006,0.0004520739506718006,50
AY.103,2021-10-04/2021-10-10,0.0004596485902709373,0.0004596485902709373,40
AY.103,2021-10-11/2021-10-17,0.00045133109875777986,0.00045133109875777986,40
AY.103,2021-10-18/2021-10-24,0.0004920773078902963,0.0004920773078902963,44
AY.103,2021-10-25/2021-10-31,0.0005204106651728459,0.0005204106651728459,52
AY.103,2021-11-01/2021-11-07,0.0005204624277879139,0.0005204624277879139,61
AY.103,2021-11-08/2021-11-14,0.0005451913568156124,0.0005451913568156124,50
AY.103,2021-11-15/2021-11-21,0.000588382027057553,0.000588382027057553,49
AY.103,2021-11-22/2021-11-28,0.0005697499930626741,0.0005697499930626741,48
AY.103,2021-11-29/2021-12-05,0.0005977330468325943,0.0005977330468325943,60
AY.103,2021-12-06/2021-12-12,0.0006130659905451264,0.0006130659905451264,29
AY.103,2021-12-13/2021-12-19,0.0006119922156909492,0.0006119922156909492,32
AY.103,2021-12-20/2021-12-26,0.0006877629826635515,0.0006877629826635515,17
AY.103,2021-12-27/2022-01-02,0.0006901101440110909,0.0006901101440110909,12
AY.103,2022-01-03/2022-01-09,0.0006353877537370832,0.0006353877537370832,2
AY.107,2021-05-24/2021-05-30,0.0,0.0,2
AY.107,2021-06-07/2021-06-13,0.00016242995208316417,0.00016242995208316417,7
AY.107,2021-06-14/2021-06-20,0.00012038925860281576,0.00012038925860281576,5
AY.107,2021-06-21/2021-06-27,0.00019396047219342533,0.00019396047219342533,5
AY.107,2021-06-28/2021-07-04,9.475080538184577e-05,9.475080538184577e-05,9
AY.107,2021-07-05/2021-07-11,0.00013738866780367632,0.00013738866780367632,16
AY.107,2021-07-12/2021-07-18,0.00015728511197193268,0.00015728511197193268,14
AY.107,2021-07-19/2021-07-25,0.00015154820692726576,0.00015154820692726576,28
AY.107,2021-07-26/2021-08-01,0.00012848356802752452,0.00012848356802752452,42
AY.107,2021-08-02/2021-08-08,0.0002253498432811544,0.0002253498432811544,33
AY.107,2021-08-09/2021-08-15,0.0002628498812828145,0.0002628498812828145,25
AY.107,2021-08-16/2021-08-22,0.00020511954785714455,0.00020511954785714455,34
AY.107,2021-08-23/2021-08-29,0.0002710881585910847,0.0002710881585910847,36
AY.107,2021-08-30/2021-09-05,0.0003087872641289155,0.0003087872641289155,43
AY.107,2021-09-06/2021-09-12,0.0003017448725237241,0.0003017448725237241,40
AY.107,2021-09-13/2021-09-19,0.0002390120529496987,0.0002390120529496987,32
AY.107,2021-09-20/2021-09-26,0.00028175263918119313,0.00028175263918119313,43
AY.107,2021-09-27/2021-10-03,0.0002929981882317841,0.0002929981882317841,48
AY.107,2021-10-04/2021-10-10,0.0002911096045564157,0.0002911096045564157,45
AY.107,2021-10-11/2021-10-17,0.00031010837480210425,0.00031010837480210425,41
AY.107,2021-10-18/2021-10-24,0.0003346620926007967,0.0003346620926007967,47
AY.107,2021-10-25/2021-10-31,0.00037638405950334,0.00037638405950334,57
AY.107,2021-11-01/2021-11-07,0.00036669119849390224,0.00036669119849390224,53
AY.107,2021-11-08/2021-11-14,0.0003997551552255152,0.0003997551552255152,54
AY.107,2021-11-15/2021-11-21,0.0003919075618720555,0.0003919075618720555,29
AY.107,2021-11-22/2021-11-28,0.0003757442530405346,0.0003757442530405346,43
AY.107,2021-11-29/2021-12-05,0.0004353022764147805,0.0004353022764147805,48
AY.107,2021-12-06/2021-12-12,0.0004676890653930711,0.0004676890653930711,50
AY.107,2021-12-13/2021-12-19,0.0003857590721784948,0.0003857590721784948,45
AY.107,2021-12-20/2021-12-26,0.00045352990542436346,0.00045352990542436346,15
AY.107,2021-12-27/2022-01-02,0.0002898259929327046,0.0002898259929327046,4
